instance;n;p;pc;pm;run;bestObjective;evaluations;timeMs;reachedOptimum
ap_50_2.txt;50;2;0,000;0,100;25;178548,982561;5000000;26448;false
ap_50_2.txt;50;2;0,000;0,100;26;178484,285703;154722;807;true
ap_50_2.txt;50;2;0,000;0,100;27;178484,285703;61580;321;true
ap_50_2.txt;50;2;0,000;0,100;28;178484,285703;4851422;25512;true
ap_50_2.txt;50;2;0,000;0,100;29;178548,982561;5000000;26740;false
ap_50_2.txt;50;2;0,000;0,100;30;178548,982561;5000000;26509;false
ap_50_2.txt;50;2;0,200;0,010;1;178484,285703;3535092;18307;true
ap_50_2.txt;50;2;0,200;0,010;2;178548,982561;5000000;25686;false
ap_50_2.txt;50;2;0,200;0,010;3;178548,982561;5000000;25676;false
ap_50_2.txt;50;2;0,200;0,010;4;178548,982561;5000000;25996;false
ap_50_2.txt;50;2;0,200;0,010;5;178484,285703;18367;94;true
ap_50_2.txt;50;2;0,200;0,010;6;178548,982561;5000000;25964;false
ap_50_2.txt;50;2;0,200;0,010;7;178548,982561;5000000;25878;false
ap_50_2.txt;50;2;0,200;0,010;8;178548,982561;5000000;26190;false
ap_50_2.txt;50;2;0,200;0,010;9;178548,982561;5000000;26112;false
ap_50_2.txt;50;2;0,200;0,010;10;178484,285703;4005;21;true
ap_50_2.txt;50;2;0,200;0,010;11;178548,982561;5000000;25653;false
ap_50_2.txt;50;2;0,200;0,010;12;178548,982561;5000000;26509;false
ap_50_2.txt;50;2;0,200;0,010;13;178484,285703;4586;24;true
ap_50_2.txt;50;2;0,200;0,010;14;178548,982561;5000000;27006;false
ap_50_2.txt;50;2;0,200;0,010;15;178484,285703;4739;25;true
ap_50_2.txt;50;2;0,200;0,010;16;178484,285703;7176;36;true
ap_50_2.txt;50;2;0,200;0,010;17;178484,285703;11237;58;true
ap_50_2.txt;50;2;0,200;0,010;18;178548,982561;5000000;25869;false
ap_50_2.txt;50;2;0,200;0,010;19;178548,982561;5000000;26021;false
ap_50_2.txt;50;2;0,200;0,010;20;178548,982561;5000000;25832;false
ap_50_2.txt;50;2;0,200;0,010;21;178548,982561;5000000;25795;false
ap_50_2.txt;50;2;0,200;0,010;22;178548,982561;5000000;25697;false
ap_50_2.txt;50;2;0,200;0,010;23;178484,285703;15957;81;true
ap_50_2.txt;50;2;0,200;0,010;24;178548,982561;5000000;25954;false
ap_50_2.txt;50;2;0,200;0,010;25;178484,285703;9761;55;true
ap_50_2.txt;50;2;0,200;0,010;26;178548,982561;5000000;25783;false
ap_50_2.txt;50;2;0,200;0,010;27;178548,982561;5000000;25754;false
ap_50_2.txt;50;2;0,200;0,010;28;178548,982561;5000000;25887;false
ap_50_2.txt;50;2;0,200;0,010;29;178548,982561;5000000;25707;false
ap_50_2.txt;50;2;0,200;0,010;30;178484,285703;3463;17;true
ap_50_2.txt;50;2;0,200;0,050;1;178548,982561;5000000;26237;false
ap_50_2.txt;50;2;0,200;0,050;2;178484,285703;5931;31;true
ap_50_2.txt;50;2;0,200;0,050;3;178484,285703;791956;4089;true
ap_50_2.txt;50;2;0,200;0,050;4;178484,285703;541517;2873;true
ap_50_2.txt;50;2;0,200;0,050;5;178484,285703;75777;392;true
ap_50_2.txt;50;2;0,200;0,050;6;178484,285703;367459;1893;true
ap_50_2.txt;50;2;0,200;0,050;7;178484,285703;792049;4119;true
ap_50_2.txt;50;2;0,200;0,050;8;178484,285703;2414732;12489;true
ap_50_2.txt;50;2;0,200;0,050;9;178484,285703;5889;31;true
ap_50_2.txt;50;2;0,200;0,050;10;178484,285703;377571;1948;true
ap_50_2.txt;50;2;0,200;0,050;11;178484,285703;163032;926;true
ap_50_2.txt;50;2;0,200;0,050;12;178484,285703;4435596;23085;true
ap_50_2.txt;50;2;0,200;0,050;13;178484,285703;1771361;9215;true
ap_50_2.txt;50;2;0,200;0,050;14;178484,285703;13610;71;true
ap_50_2.txt;50;2;0,200;0,050;15;178484,285703;36044;185;true
ap_50_2.txt;50;2;0,200;0,050;16;178484,285703;1246489;6444;true
ap_50_2.txt;50;2;0,200;0,050;17;178484,285703;4393972;22803;true
